Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
23,11.554,300.29068,130715,514016,233170,75133,427112,382819,411,119982,170256,140670,382701,259884,80803,493683
24,11.541,301.21207,9247,516,13470,8827,17714,2214,20644,10544,6149,14179,1410,16231,12283,33968
25,5.867,301.23776,22466,2173,48483,1475,31403,1152,17925,1185,20889,1283,548,14839,722,4829
26,11.746,305.24509,141163,8500,307294,1307,459350,7317,150590,3099,226114,3654,8684,304293,4444,47197
27,11.538,305.24545,141163,574504,307294,73025,459350,548212,435,142485,226114,159051,610091,304293,78478,612958
28,11.519,327.22662,18465,57805,38598,17422,45012,71633,130,29327,36742,30983,58972,44995,23230,64547
29,11.698,369.35123,16259,7633,98709,10857,135239,4464,67546,6522,82205,10633,7831,68977,8900,12397
30,21.229,369.35172,1271470,742290,1245446,1441460,2301326,1205249,1032635,196227,1924868,1424962,738003,1563035,937549,1373162
31,16.022,369.35202,454160,299618,595959,572195,811502,562891,412460,690053,551918,610106,367331,490558,748028,597369
32,11.484,369.35266,83647,137403,98709,67490,135239,110446,215,73348,82205,69793,81821,68977,59639,97538
33,0.685,383.11575,13116,17066,31475,22765,23453,18161,23214,25062,24221,22774,32065,28939,26211,17299
34,7.995,400.34167,44606,64235,27492,35273,55897,63145,74,37394,26695,58065,46872,33969,36327,69937
35,8.238,400.34293,1896,443,1133,534,55897,1767,49630,1299,284,3471,246,33969,1176,2932
36,5.63,403.23178,26098,1230,28347,34275,24032,1513,26298,33745,28458,26386,530,28694,26728,30578
37,5.919,404.30246,25059,1949,33373,2177,25851,1385,22677,2476,1276,3093,1561,1533,2702,259
38,16.022,404.39008,40325,26903,50083,44404,60668,48995,41732,53377,47916,50967,34166,40731,55907,52255
39,7.622,415.30606,67651,92616,115486,66170,99802,110570,127,102070,50023,69510,47655,48253,50360,123164
40,0.986,418.29721,30390,24268,17966,18043,36262,19859,49502,33802,21560,31995,40834,36726,29724,26732
41,8.419,426.35925,86736,122446,64060,48328,94007,93743,443,80695,90169,57472,71636,68655,55381,119266
